chr1	218172882	6	80	81
chr2	193660750	220900056	80	81
chr3	184919515	416981572	80	81
chr4	182120902	604212587	80	81
chr5	173900761	788610007	80	81
chr6	167138247	964684534	80	81
chr7	161768468	1133912016	80	81
chr8	140274886	1297702596	80	81
chr9	127591819	1439730925	80	81
chr10	126462689	1568917649	80	81
chr11	125913696	1696961129	80	81
chr12	123343450	1824448754	80	81
chr13	106849001	1949334005	80	81
chr14	106654974	2057518626	80	81
chr15	91985775	2165506795	80	81
chr16	91184193	2258642400	80	81
chr17	74525926	2350966403	80	81
chr18	72894408	2426423911	80	81
chr19	72123344	2500229507	80	81
chr20	50021108	2573254400	80	81
chrX	142711496	2623900778	80	81
chrY	8309886	2768396174	80	81
